locusId	accession	GI	scaffoldId	start	stop	strand	sysName	name	desc	COG	COGFun	COGDesc	TIGRFam	TIGRRoles	GO	EC	ECDesc
18437	NP_206815.1	15644646	11	11587	12639	+	HP0013	HP0013	hypothetical protein (NCBI ptt file)	COG482	J	Predicted tRNA(5-methylaminomethyl-2-thiouridylate) methyltransferase, contains the PP-loop ATPase domain			GO:0006526,GO:0004055,GO:0004808,GO:0005524	2.1.1.61	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase.
18438	NP_206816.1	15644647	11	12728	13555	+	HP0014	HP0014	hypothetical protein (NCBI ptt file)								
18439	NP_206817.1	15644648	11	13702	13983	+	HP0015	HP0015	hypothetical protein (NCBI ptt file)								
18440	NP_206818.1	15644649	11	13983	14246	+	HP0016	HP0016	hypothetical protein (NCBI ptt file)								
18441	NP_206819.1	15644650	11	14248	16611	+	HP0017	virB4	virB4 homolog (virB4) (NCBI ptt file)	COG3451	U	Type IV secretory pathway, VirB4 components	TIGR00929 type IV secretion/conjugal transfer ATPase, VirB4 family		GO:0005524		
18442	NP_206820.1	15644651	11	16863	18272	+	HP0018	HP0018	hypothetical protein (NCBI ptt file)	COG3014	S	Uncharacterized protein conserved in bacteria					
18443	NP_206821.1	15644652	11	18380	19345	+	HP0019	cheV	chemotaxis protein (cheV) (NCBI ptt file)	COG835	NT	Chemotaxis signal transduction protein			GO:0006935,GO:0000160,GO:0006355,GO:0005622,GO:0000156	2.7.3.-	
18444	NP_206822.1	15644653	11	19342	20559	+	HP0020	nspC	carboxynorspermidine decarboxylase (nspC) (NCBI ptt file)	COG19	E	Diaminopimelate decarboxylase	TIGR01047 carboxynorspermidine decarboxylase [nspC]	Central intermediary metabolism:Polyamine biosynthesis	GO:0045312,GO:0016830	4.1.1.-	
18445	NP_206823.1	15644654	11	21141	20569	-	HP0021	HP0021	hypothetical protein (NCBI ptt file)	COG671	I	Membrane-associated phospholipid phosphatase			GO:0016020,GO:0016787	3.1.3.-	
18446	NP_206824.1	15644655	11	22717	21152	-	HP0022	HP0022	conserved hypothetical integral membrane protein (NCBI ptt file)	COG2194	R	Predicted membrane-associated, metal-dependent hydrolase			GO:0006810,GO:0008152,GO:0016021,GO:0005215,GO:0008484		
18447	NP_206825.1	15644656	11	22773	22892	+	HP0023	HP0023	hypothetical protein (NCBI ptt file)								
18448	NP_206826.1	15644657	11	22903	22995	+	HP0024	HP0024	hypothetical protein (NCBI ptt file)								
18449	NP_206827.1	15644658	11	25459	23324	-	HP0025	omp2	outer membrane protein (omp2) (NCBI ptt file)								
18450	NP_206828.1	15644659	11	27358	26078	-	HP0026	gltA	citrate synthase (gltA) (NCBI ptt file)	COG372	C	Citrate synthase			GO:0005737,GO:0004108	2.3.3.1	Citrate (Si)-synthase.
18451	NP_206829.1	15644660	11	27557	28834	+	HP0027	icd	isocitrate dehydrogenase (icd) (NCBI ptt file)	COG538	C	Isocitrate dehydrogenases	TIGR00183 isocitrate dehydrogenase, NADP-dependent [icd]	Energy metabolism:TCA cycle	GO:0006099,GO:0004450	1.1.1.42	Isocitrate dehydrogenase (NADP(+)).
18452	NP_206830.1	15644661	11	28901	29434	+	HP0028	HP0028	conserved hypothetical secreted protein (NCBI ptt file)								
18453	NP_206831.1	15644662	11	30067	29411	-	HP0029	bioD	dethiobiotin synthetase (bioD) (NCBI ptt file)	COG132	H	Dethiobiotin synthetase	TIGR00347 dethiobiotin synthase [bioD]	Biosynthesis of cofactors, prosthetic groups, and carriers:Biotin	GO:0009102,GO:0009236,GO:0004141,GO:0042242,GO:0005524	6.3.3.3	Dethiobiotin synthase.
18454	NP_206832.1	15644663	11	31852	30071	-	HP0030	HP0030	hypothetical protein (NCBI ptt file)								
18455	NP_206833.1	15644664	11	31961	32374	+	HP0031	HP0031	hypothetical protein (NCBI ptt file)						GO:0006950		
18456	NP_206834.1	15644665	11	32405	32680	+	HP0032	HP0032	conserved hypothetical protein (NCBI ptt file)	COG2127	S	Uncharacterized conserved protein					
18457	NP_206835.1	15644666	11	32680	34905	+	HP0033	clpA	ATP-dependent C1p protease (clpA) (NCBI ptt file)	COG542	O	ATPases with chaperone activity, ATP-binding subunit			GO:0019538,GO:0005515,GO:0005524,GO:0008462,GO:0017111	3.4.21.92	Endopeptidase Clp.
18458	NP_206836.1	15644667	11	34895	35248	+	HP0034	panD	aspartate 1-decarboxylase (panD) (NCBI ptt file)	COG853	H	Aspartate 1-decarboxylase	TIGR00223 aspartate 1-decarboxylase [panD]	Biosynthesis of cofactors, prosthetic groups, and carriers:Pantothenate and coenzyme A	GO:0006523,GO:0004068,GO:0005488	4.1.1.11	Aspartate 1-decarboxylase.
18459	NP_206837.1	15644668	11	35251	35544	+	HP0035	HP0035	conserved hypothetical protein (NCBI ptt file)	COG718	S	Uncharacterized protein conserved in bacteria	TIGR00103 DNA-binding protein, YbaB/EbfC family	Unknown function:General			
18460	NP_206838.1	15644669	11	35544	36548	+	HP0036	HP0036	hypothetical protein (NCBI ptt file)						GO:0005515		
18461	NP_206839.1	15644670	11	36556	37611	+	HP0037	HP0037	NADH-ubiquinone oxidoreductase subunit (NCBI ptt file)	COG3846	U	Type IV secretory pathway, TrbL components			GO:0000747,GO:0008137	1.6.5.3	NADH dehydrogenase (ubiquinone).
18462	NP_206840.1	15644671	11	37738	38475	+	HP0038	HP0038	hypothetical protein (NCBI ptt file)	COG3736	U	Type IV secretory pathway, component VirB8					
18463	NP_206841.1	15646206	11	38472	39453	+	HP0039m	HP0039m	Component of conjugal plasmid transfer system (NCBI ptt file)	COG3504	U	Type IV secretory pathway, VirB9 components					
18464	NP_206842.1	15644672	11	39446	39817	+	HP0041	HP0041	hypothetical protein (NCBI ptt file)								
18465	NP_206843.1	15644673	11	39880	40581	+	HP0042	HP0042	trbI protein (NCBI ptt file)	COG2948	U	Type IV secretory pathway, VirB10 components			GO:0009291		
18466	NP_206844.1	15644674	11	40651	42063	+	HP0043	algA	mannose-6-phosphate isomerase (pmi) or (algA) (NCBI ptt file)	COG836	M	Mannose-1-phosphate guanylyltransferase	TIGR01479 mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase	Cell envelope:Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	GO:0009103,GO:0008928	2.7.7.22	Mannose-1-phosphate guanylyltransferase (GDP).
18467	NP_206845.1	15644675	11	42105	43250	+	HP0044	rfbD	GDP-D-mannose dehydratase (rfbD) (NCBI ptt file)	COG1089	M	GDP-D-mannose dehydratase	TIGR01472 GDP-mannose 4,6-dehydratase [gmd]	Cell envelope:Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	GO:0019673,GO:0005622,GO:0050662,GO:0008446,GO:0016491	4.2.1.47	GDP-mannose 4,6-dehydratase.
18468	NP_206846.1	15644676	11	43243	44175	+	HP0045	nolK	nodulation protein (nolK) (NCBI ptt file)	COG451	MG	Nucleoside-diphosphate-sugar epimerases			GO:0042351,GO:0050577,GO:0050662	1.1.1.271	GDP-L-fucose synthase.
18469	NP_206847.1	15644677	11	44299	44436	+	HP0046	HP0046	hypothetical protein (NCBI ptt file)								
18470	NP_206848.1	15644678	11	46039	45041	-	HP0047	hypE	hydrogenase expression/formation protein (hypE) (NCBI ptt file)	COG309	O	Hydrogenase maturation factor	TIGR02124 hydrogenase expression/formation protein HypE [hypE]		GO:0009030	2.7.4.16	Thiamine-phosphate kinase.
18471	NP_206849.1	15644679	11	48351	46042	-	HP0048	hypF	transcriptional regulator (hypF) (NCBI ptt file)	COG68	O	Hydrogenase maturation factor	TIGR00143 carbamoyltransferase HypF [hypF]	Protein fate:Protein modification and repair	GO:0003998,GO:0008270,GO:0030528		
18472	NP_206850.1	15644680	11	49283	48291	-	HP0049	HP0049	hypothetical protein (NCBI ptt file)	COG2957	E	Peptidylarginine deiminase and related enzymes			GO:0047632		
18473	NP_206851.1	15644681	11	50033	49335	-	HP0050	dpnA	adenine specific DNA methyltransferase (dpnA) (NCBI ptt file)	COG863	L	DNA modification methylase			GO:0006306,GO:0003677,GO:0008170,GO:0009007	2.1.1.72	Site-specific DNA-methyltransferase (adenine-specific).
18474	NP_206852.1	15644682	11	51097	50030	-	HP0051	HP0051	cytosine specific DNA methyltransferase (DDEM) (NCBI ptt file)	COG270	L	Site-specific DNA methylase	TIGR00675 DNA (cytosine-5-)-methyltransferase [dcm]	DNA metabolism:DNA replication, recombination, and repair	GO:0006306,GO:0003677,GO:0051720,GO:0051718,GO:0051719	2.1.1.37	DNA (cytosine-5-)-methyltransferase.
18475	NP_206853.1	15644683	11	52264	51272	-	HP0052	HP0052	hypothetical protein (NCBI ptt file)								
18476	NP_206854.1	15644684	11	53718	52459	-	HP0053	HP0053	hypothetical protein (NCBI ptt file)								
18477	NP_206855.1	15644685	11	56186	53715	-	HP0054	HP0054	adenine/cytosine DNA methyltransferase (NCBI ptt file)	COG827	L	Adenine-specific DNA methylase			GO:0006306,GO:0003677,GO:0051720,GO:0051718,GO:0051719	2.1.1.37	DNA (cytosine-5-)-methyltransferase.
18478	NP_206856.1	15644686	11	57714	56224	-	HP0055	putP	proline permease (putP) (NCBI ptt file)	COG591	ER	Na+/proline symporter	TIGR00813 transporter, solute:sodium symporter (SSS) family,TIGR02121 sodium/proline symporter [putP]	Transport and binding proteins:Amino acids, peptides and amines	GO:0006814,GO:0015824,GO:0016021,GO:0005298,GO:0031402		
18479	NP_206857.1	15644687	11	61298	57741	-	HP0056	HP0056	delta-1-pyrroline-5-carboxylate dehydrogenase (NCBI ptt file)	COG4230	C	Delta 1-pyrroline-5-carboxylate dehydrogenase			GO:0006537,GO:0006562,GO:0003842,GO:0004657	1.5.1.12,1.5.99.8	1-pyrroline-5-carboxylate dehydrogenase.,Proline dehydrogenase.
18480	NP_206858.1	15644688	11	61619	61828	+	HP0057	HP0057	hypothetical protein (NCBI ptt file)								
10712216			11	61943	63143	+	HP0058	HP0058									
18481	NP_206859.1	15644689	11	63145	63999	+	HP0059	HP0059	hypothetical protein (NCBI ptt file)								
18482	NP_206860.1	15644690	11	64016	66457	+	HP0060	HP0060	hypothetical protein (NCBI ptt file)								
18483	NP_206861.1	15644691	11	66454	67023	+	HP0061	HP0061	hypothetical protein (NCBI ptt file)								
18484	NP_206862.1	15644692	11	67039	67299	+	HP0062	HP0062	hypothetical protein (NCBI ptt file)								
18485	NP_206863.1	15644693	11	67310	68800	+	HP0063	HP0063	hypothetical protein (NCBI ptt file)								
18486	NP_206864.1	15644694	11	68770	69189	+	HP0064	HP0064	hypothetical protein (NCBI ptt file)								
18487	NP_206865.1	15644695	11	69191	69544	+	HP0065	HP0065	hypothetical protein (NCBI ptt file)								
18488	NP_206866.1	15644696	11	69468	71963	+	HP0066	HP0066	conserved hypothetical ATP-binding protein (NCBI ptt file)	COG1674	D	DNA segregation ATPase FtsK/SpoIIIE and related proteins			GO:0007059,GO:0007049,GO:0051301,GO:0016021,GO:0000166,GO:0003677,GO:0005524,GO:0017111		
18489	NP_206867.1	15644697	11	72818	72021	-	HP0067	ureH	urease accessory protein (ureH) (NCBI ptt file)	COG829	O	Urease accessory protein UreH			GO:0006807,GO:0009039,GO:0016151	3.5.1.5	Urease.
18490	NP_206868.1	15644698	11	73417	72818	-	HP0068	ureG	urease accessory protein (ureG) (NCBI ptt file)	COG378	OK	Ni2+-binding GTPase involved in regulation of expression and maturation of urease and hydrogenase	TIGR00101 urease accessory protein UreG [ureG]	Central intermediary metabolism:Nitrogen metabolism	GO:0006461,GO:0000166,GO:0016151		
18491	NP_206869.1	15644699	11	74210	73446	-	HP0069	ureF	urease accessory protein (ureF) (NCBI ptt file)	COG830	O	Urease accessory protein UreF			GO:0006807,GO:0016151		
18492	NP_206870.1	15644700	11	74745	74233	-	HP0070	ureE	urease accessory protein (ureE) (NCBI ptt file)	COG2371	O	Urease accessory protein UreE			GO:0006457,GO:0019627,GO:0006461,GO:0018307,GO:0016151		
18493	NP_206871.1	15644701	11	75334	74747	-	HP0071	ureI	urease accessory protein (ureI) (NCBI ptt file)						GO:0006810,GO:0016020		
18494	NP_206872.1	15644702	11	77236	75527	-	HP0072	ureB	urease beta subunit (urea amidohydrolase) (ureB) (NCBI ptt file)	COG804	E	Urea amidohydrolase (urease) alpha subunit	TIGR01792 urease, alpha subunit [ureC]	Central intermediary metabolism:Nitrogen metabolism	GO:0019627,GO:0009039,GO:0016151	3.5.1.5	Urease.
18495	NP_206873.1	15644703	11	77956	77240	-	HP0073	ureA	urease alpha subunit (ureA) (urea amidohydrolase) (NCBI ptt file)	COG832	E	Urea amidohydrolase (urease) beta subunit	TIGR00192 urease, beta subunit [ureB],TIGR00193 urease, gamma subunit [ureA]	Central intermediary metabolism:Nitrogen metabolism	GO:0006807,GO:0005737,GO:0009039,GO:0016151	3.5.1.5	Urease.
1937495			11	78281	78209	-	HPt06	tRNA-Val-2	tRNA-Val (NCBI)								
18496	NP_206874.1	15644704	11	78775	78302	-	HP0074	lspA	lipoprotein signal peptidase (lspA) (NCBI ptt file)	COG597	MU	Lipoprotein signal peptidase	TIGR00077 signal peptidase II [lspA]	Protein fate:Protein and peptide secretion and trafficking	GO:0006508,GO:0016020,GO:0009005	3.4.23.36	Signal peptidase II.
18497	NP_206875.1	15644705	11	80106	78769	-	HP0075	ureC	urease protein (ureC) (NCBI ptt file)	COG1109	G	Phosphomannomutase	TIGR01455 phosphoglucosamine mutase [glmM]	Central intermediary metabolism:Amino sugars	GO:0005975,GO:0008966	5.4.2.10	Phosphoglucosamine mutase.
18498	NP_206876.1	15644706	11	80196	80465	+	HP0076	rps20	ribosomal protein S20 (rps20) (NCBI ptt file)	COG268	J	Ribosomal protein S20	TIGR00029 ribosomal protein S20 [rpsT]	Protein synthesis:Ribosomal proteins: synthesis and modification	GO:0006412,GO:0005840,GO:0003723,GO:0003735		
18499	NP_206877.1	15644707	11	80589	81647	+	HP0077	prfA	peptide chain release factor RF-1 (prfA) (NCBI ptt file)	COG216	J	Protein chain release factor A	TIGR00019 peptide chain release factor 1 [prfA]	Protein synthesis:Translation factors	GO:0006415,GO:0005737,GO:0004045,GO:0016149	3.1.1.29	Aminoacyl-tRNA hydrolase.
18500	NP_206878.1	15644708	11	82058	82315	+	HP0078	HP0078	hypothetical protein (NCBI ptt file)								
18501	NP_206879.1	15644709	11	82326	84113	+	HP0079	omp3	outer membrane protein (omp3) (NCBI ptt file)								
18502	NP_206880.1	15644710	11	84359	86140	+	HP0080	HP0080	hypothetical protein (NCBI ptt file)								
18503	NP_206881.1	15644711	11	86410	86532	+	HP0081	HP0081	hypothetical protein (NCBI ptt file)								
18504	NP_206882.1	15644712	11	88677	86656	-	HP0082	tlpC	methyl-accepting chemotaxis transducer (tlpC) (NCBI ptt file)	COG840	NT	Methyl-accepting chemotaxis protein			GO:0006935,GO:0007165,GO:0016020,GO:0004871		
18505	NP_206883.1	15644713	11	89222	88833	-	HP0083	rps9	ribosomal protein S9 (rps9) (NCBI ptt file)	COG103	J	Ribosomal protein S9			GO:0006412,GO:0005840,GO:0003735		
18506	NP_206884.1	15644714	11	89644	89219	-	HP0084	rpl13	ribosomal protein L13 (rpl13) (NCBI ptt file)	COG102	J	Ribosomal protein L13	TIGR01066 ribosomal protein L13 [rplM]	Protein synthesis:Ribosomal proteins: synthesis and modification	GO:0006412,GO:0005840,GO:0003735		
18507	NP_206885.1	15644715	11	90145	89957	-	HP0085	HP0085	hypothetical protein (NCBI ptt file)								
18508	NP_206886.1	15644716	11	91504	90152	-	HP0086	HP0086	conserved hypothetical protein (NCBI ptt file)	COG579	R	Predicted dehydrogenase			GO:0008924	1.1.5.4,1.1.99.16	,Malate dehydrogenase (acceptor).
18509	NP_206887.1	15644717	11	92931	91558	-	HP0087	HP0087	hypothetical protein (NCBI ptt file)								
18510	NP_206888.1	15644718	11	94967	92952	-	HP0088	rpoD	RNA polymerase sigma-70 factor (rpoD) (NCBI ptt file)	COG568	K	DNA-directed RNA polymerase, sigma subunit (sigma70/sigma32)	TIGR02393 RNA polymerase sigma factor RpoD [rpoD],TIGR02937 RNA polymerase sigma factor, sigma-70 family	Transcription:Transcription factors	GO:0006352,GO:0006355,GO:0003700,GO:0016987		
18511	NP_206889.1	15644719	11	95886	95191	-	HP0089	pfs	pfs protein (pfs) (NCBI ptt file)	COG775	F	Nucleoside phosphorylase	TIGR01704 MTA/SAH nucleosidase [mtnN]	Purines, pyrimidines, nucleosides, and nucleotides:Salvage of nucleosides and nucleotides	GO:0009164,GO:0019509,GO:0008782,GO:0008930	3.2.2.16,3.2.2.9	Methylthioadenosine nucleosidase.,Adenosylhomocysteine nucleosidase.
18512	NP_206890.1	15644720	11	96826	95897	-	HP0090	fabD	malonyl coenzyme A-acyl carrier protein transacylase (fabD) (NCBI ptt file)	COG331	I	(acyl-carrier-protein) S-malonyltransferase	TIGR00128 malonyl CoA-acyl carrier protein transacylase [fabD]	Fatty acid and phospholipid metabolism:Biosynthesis	GO:0006633,GO:0004314	2.3.1.39	[Acyl-carrier-protein] S-malonyltransferase.
1937496			11	96959	97047	+	HPt07	tRNA-Ser-3	tRNA-Ser (NCBI)								
18513	NP_206891.1	15644721	11	97256	98089	+	HP0091	hsdR	type II restriction enzyme R protein (hsdR) (NCBI ptt file)						GO:0009307,GO:0003677,GO:0009036	3.1.21.4	Type II site-specific deoxyribonuclease.
18514	NP_206892.1	15644722	11	98083	98916	+	HP0092	hsdM	type II restriction enzyme M protein (hsdM) (NCBI ptt file)	COG863	L	DNA modification methylase			GO:0006306,GO:0003677,GO:0009007,GO:0008170	2.1.1.72	Site-specific DNA-methyltransferase (adenine-specific).
18515	NP_206893.1	15644723	11	99376	98936	-	HP0093	HP0093	hypothetical protein (NCBI ptt file)						GO:0005975,GO:0005794,GO:0016020,GO:0008107		
18516	NP_206894.1	15644724	11	99840	99373	-	HP0094	HP0094	conserved hypothetical protein (NCBI ptt file)						GO:0005975,GO:0005794,GO:0016020,GO:0008107		
18517	NP_206895.1	15644725	11	100469	99939	-	HP0095	HP0095	hypothetical protein (NCBI ptt file)								
18518	NP_206896.1	15644726	11	100542	101486	+	HP0096	HP0096	phosphoglycerate dehydrogenase (NCBI ptt file)	COG1052	CHR	Lactate dehydrogenase and related dehydrogenases			GO:0008152,GO:0016616,GO:0051287		
18519	NP_206897.1	15644727	11	102356	101643	-	HP0097	HP0097	hypothetical protein (NCBI ptt file)								
18520	NP_206898.1	15644728	11	103921	102461	-	HP0098	thrC	threonine synthase (thrC) (NCBI ptt file)	COG498	E	Threonine synthase	TIGR00260 threonine synthase [thrC]	Amino acid biosynthesis:Aspartate family	GO:0009088,GO:0004795,GO:0030170	4.2.3.1	Threonine synthase.
18521	NP_206899.1	15644729	11	104125	106152	+	HP0099	tlpA	methyl-accepting chemotaxis protein (tlpA) (NCBI ptt file)	COG840	NT	Methyl-accepting chemotaxis protein			GO:0006935,GO:0007165,GO:0016020,GO:0004871		
18522	NP_206900.1	15644730	11	106152	107258	+	HP0100	HP0100	conserved hypothetical protein (NCBI ptt file)	COG1636	S	Uncharacterized protein conserved in bacteria					
18523	NP_206901.1	15644731	11	107471	108232	+	HP0101	HP0101	hypothetical protein (NCBI ptt file)								
18524	NP_206902.1	15644732	11	108994	108215	-	HP0102	HP0102	conserved hypothetical protein (NCBI ptt file)	COG463	M	Glycosyltransferases involved in cell wall biogenesis				2.4.1.-	
18525	NP_206903.1	15644733	11	110722	109025	-	HP0103	tlpB	methyl-accepting chemotaxis protein (tlpB) (NCBI ptt file)	COG840	NT	Methyl-accepting chemotaxis protein			GO:0016192,GO:0006935,GO:0007165,GO:0016020,GO:0004871,GO:0005515		
18526	NP_206904.1	15644734	11	112673	110928	-	HP0104	cpdB	2',3'-cyclic-nucleotide 2'-phosphodiesterase (cpdB) (NCBI ptt file)	COG737	F	5'-nucleotidase/2',3'-cyclic phosphodiesterase and related esterases			GO:0009166,GO:0008663	3.1.4.16	2',3'-cyclic-nucleotide 2'-phosphodiesterase.
18527	NP_206905.2	161353440	11	113280	112828	-	HP0105	HP0105	S-ribosylhomocysteinase (RefSeq)	COG1854	T	LuxS protein involved in autoinducer AI2 synthesis			GO:0009372,GO:0005506,GO:0043768	4.4.1.21	S-ribosylhomocysteine lyase.
18528	NP_206906.1	15644736	11	114475	113333	-	HP0106	metB	cystathionine gamma-synthase (metB) (NCBI ptt file)	COG626	E	Cystathionine beta-lyases/cystathionine gamma-synthases			GO:0006520,GO:0003824,GO:0003962,GO:0030170	2.5.1.48	Cystathionine gamma-synthase.
18529	NP_206907.1	15644737	11	115420	114500	-	HP0107	cysK	cysteine synthetase (cysK) (NCBI ptt file)	COG31	E	Cysteine synthase			GO:0006535,GO:0004124,GO:0030170	2.5.1.47	Cysteine synthase.
18530	NP_206908.1	15644738	11	115459	116019	+	HP0108	HP0108	hypothetical protein (NCBI ptt file)								
18531	NP_206909.1	15644739	11	118224	116362	-	HP0109	dnaK	chaperone and heat shock protein 70 (dnaK) (NCBI ptt file)	COG443	O	Molecular chaperone	TIGR02350 chaperone protein DnaK [dnaK]	Protein fate:Protein folding and stabilization	GO:0006457,GO:0005524,GO:0051082		
18532	NP_206910.1	15644740	11	118823	118254	-	HP0110	grpE	co-chaperone and heat shock protein (grpE) (NCBI ptt file)	COG576	O	Molecular chaperone GrpE (heat shock protein)			GO:0006457,GO:0000774,GO:0042803,GO:0051087		
18533	NP_206911.1	15644741	11	119653	118823	-	HP0111	HP0111	hypothetical protein (NCBI ptt file)	COG1420	K	Transcriptional regulator of heat shock gene			GO:0006355		
18534	NP_206912.1	15644742	11	119980	120675	+	HP0112	HP0112	hypothetical protein (NCBI ptt file)	COG235	G	Ribulose-5-phosphate 4-epimerase and related epimerases and aldolases			GO:0008738,GO:0046872	4.1.2.17	L-fuculose-phosphate aldolase.
18535	NP_206913.1	15644743	11	120696	120992	+	HP0113	HP0113	hypothetical protein (NCBI ptt file)								
18536	NP_206914.1	15644744	11	122888	121002	-	HP0114	HP0114	hypothetical protein (NCBI ptt file)	COG2604	S	Uncharacterized protein conserved in bacteria					
18537	NP_206915.1	15644745	11	124492	122948	-	HP0115	flaB	flagellin B (flaB) (NCBI ptt file)	COG1344	N	Flagellin and related hook-associated proteins			GO:0001539,GO:0043064,GO:0009420,GO:0005198		
18538	NP_206916.1	15644746	11	124658	126868	+	HP0116	topA	DNA topoisomerase I (topA) (NCBI ptt file)	COG550	L	Topoisomerase IA	TIGR01051 DNA topoisomerase I [topA]	DNA metabolism:DNA replication, recombination, and repair	GO:0006304,GO:0006265,GO:0006268,GO:0005694,GO:0003917	5.99.1.2	DNA topoisomerase.
18539	NP_206917.1	15644747	11	126861	127787	+	HP0117	HP0117	conserved hypothetical protein (NCBI ptt file)	COG731	C	Fe-S oxidoreductases			GO:0003824,GO:0051536	1.8.-.-	
18540	NP_206918.1	15644748	11	129118	127931	-	HP0118	HP0118	hypothetical protein (NCBI)								
18541	NP_206919.1	15644749	11	130768	129383	-	HP0119	HP0119	hypothetical protein (NCBI ptt file)								
18542	NP_206920.1	15644750	11	132249	131053	-	HP0120	HP0120	hypothetical protein (NCBI ptt file)								
18543	NP_206921.1	15644751	11	134784	132346	-	HP0121	ppsA	phosphoenolpyruvate synthase (ppsA) (NCBI ptt file)	COG574	G	Phosphoenolpyruvate synthase/pyruvate phosphate dikinase	TIGR01418 phosphoenolpyruvate synthase [ppsA]	Energy metabolism:Glycolysis/gluconeogenesis	GO:0006094,GO:0016310,GO:0005524,GO:0008986	2.7.9.2	Pyruvate, water dikinase.
18544	NP_206922.1	15644752	11	134971	135102	+	HP0122	HP0122	hypothetical protein (NCBI ptt file)								
